STT,Tên học phần,"Mã
học phần"
33,"Tiếng Anh chuyên ngành 4 (Hợp đồng)
(English for Specific Purpose 4 (Contract))",ESP342
34,"Tiếng Anh chuyên ngành 5 (Diễn thuyết trước công chúng)
(English for Specific Purpose 5(Public Speaking))",ESP451
2.2,Kiến thức ngành,
2.2.1,Học phần bắt buộc,
35,"Marketing quốc tế
(International Marketing )",MKTE401
36,"Pháp luật kinh doanh quốc tế
(International Business Law)",PLUE410
37,"Đầu tư quốc tế
(Foreign Investment)",DTUE310
38,"Kinh doanh quốc tế
(International Business)",KDOE307
39,"Giao dịch thương mại quốc tế
(International Business Transactions)",TMAE302
40,"Phân tích dữ liệu kinh doanh
(Introduction to Business Analytics)",VJPE205
2.2.2.,Học phần tự chọn (chọn 2 học phần),
41,"Đàm phán và quản trị xung đột
(Negotiation and conflict management)",KDOE302
42,"Đạo đức kinh doanh và trách nhiệm xã hội của doanh nghiệp
(Business Ethics and Corporate Social Responsibility)",KDOE305
43,"Cơ sở dữ liệu
(Data Management System)",TINE313
44,"Lập trình cho phân tích dữ liệu và tính toán khoa học
(Programming for Data Analysis and Scientific Computing)",TINE314
45,"Trí tuệ nhân tạo trong kỷ nguyên chuyển đổi số
(AI in the Era of Digital Transformation)",AIDE300
46,"Chuyển giao công nghệ
(Technology transfer)",TMAE406
47,"Thuế và hệ thống thuế ở Việt Nam
(Taxation and Tax System in Vietnam)",TMAE320
2.3.,Kiến thức chuyên ngành,
2.3.1,Học phần bắt buộc,
48,"Quản lý chuỗi cung ứng
(Supply Chain Management)",TMAE313
49,"Đổi mới sáng tạo trong kinh doanh quốc tế
(International Business Innovation)",KDOE405
50,"Quản lý rủi ro trong kinh doanh quốc tế
(Risk management in International Business)",KDOE402
51,"Quản trị dự án đầu tư quốc tế
(International Investment Project Management)",TMAE315
52,"Thực hành dự án kinh doanh
(Business Project in Practice)",KTEE507
53,"Nghiệp vụ kinh doanh quốc tế
(International Business Operations)",KDOE408
54,"Truyền thông trong kinh doanh quốc tế
(International Business Communication)",MKTE408
55,"Thanh toán quốc tế
(International Payment)",TCHE412
2.3.2,Học phần tự chọn (chọn 2 học phần),
56,"Kinh doanh số
(Digital Business)",DBZE306
57,"Thương mại dịch vụ
(Trade in Services)",TMAE412
58,"Chính sách thương mại quốc tế
(International Trade Policy)",TMAE301
59,"Logistics và vận tải quốc tế
(Logistics and international freight forwarding)",TMAE336
60,"Thuận lợi hóa thương mại
(Trade Facilitation)",TMAE410
61,"Kỹ năng lãnh đạo
(Leadership skill)",QTRE203
62,"Thương hiệu trong kinh doanh quốc tế
(Brand in International Business)",MKTE407
63,"Marketing điện tử
(E-Marketing)",MKTE406
64,"Kinh tế vận tải
(Transport Economics)",TMAE205
65,"Kinh tế biển
(Maritime Economics)",TMAE203
66,"Kinh tế và logistics đô thị
(Economics and City logistics)",TMAE204
67,"Sáng tạo xã hội
(Social Innovation)",TMAE202
68,"Sáng tạo kinh doanh
(Business Innovation)",TMAE327
69,"Quản lý năng suất và chất lượng
(Productivity and Quality Management)",KTEE219
70,"Quản lý nhà nước về tài nguyên biển
(State Management on Maritime Resource)",KTEE333
71,"Nghiệp vụ hải quan
(Customs Affairs)",TMAE310
72,"Bảo hiểm trong kinh doanh
(Insurance in Business)",TMAE402
73,"Quản lý sản xuất và vận hành chuỗi cung ứng
(Operation and production management in supply chain)",KTEE337
74,"Quản lý mua hàng toàn cầu
(Global Purchasing Management)",GPM301F
75,"Quản lý vận tải
(Transport Management)",ITM301F
76,"Hợp đồng trong quản lý chuỗi cung ứng
(Contract in supply chain management)",KTEE338
2.4.,Thực hành nghề nghiệp,
77,"IBIZ 1: Thực hành kinh doanh quốc tế 1
(IBIZ 1: International Business Practice 1)",KDOE410
78,"IBIZ 2: Thực hành kinh doanh quốc tế 2
( IBIZ 2: International Business Practice 2",KDOE411
3,Thực tập giữa khóa - Internship,"I-  I
II-   
 
I-  BII"
79,"IBIZ 3: Mid-course Internship
(IBIZ 3: International Business Practice 3)",KDOE503
4,Học phần tốt nghiệp,
80,"IBIZ 4: Khóa luận tốt nghiệp
(IBIZ 4: Graduation Thesis)",KDOE523
