course_code,course_name,domain_knowledge,jd_skills,tools
TCHE531,Hi-Fin 4 - Graduation (Hi-Fin 4 - Học phần tốt nghiệp),"finance, banking, economics, financial models, systemic risk, CFA, Securities Practitioner License","scientific research, data collection, financial modeling, data analysis, critical thinking, independent and collaborative work, professional communication, report writing, oral presentation","AI-based applications, advanced IT tools, digital technologies"
PLUE422,International Trade Law (Pháp luật thương mại quốc tế),"international trade law, WTO law, trade in goods, trade in services, dispute settlement, Free Trade Agreements (FTAs)","legal research, legal analysis, legal advising, trade dispute resolution, teamworking, leadership",
LCME301,Digital Transformation in Logistics and Supply Chain,"digitalization trends, logistics and supply chain operations, IoT, Big Data, AI, Blockchain, automation, transportation, warehousing, distribution, supply chain resilience","evaluating technology adoption, designing digital solutions, analyzing real-world cases, economic-business impact evaluation, written reports, oral presentations, digital tool utilization","IoT, Big Data, AI, Blockchain, automation, digital tools, digital platforms"
KDOE503,International Business Practice 3 - Mid-course Internship (Thực hành kinh doanh quốc tế 3 - Thực tập giữa khóa),"economic and business theories, international business activities, organizational structure, strategic planning, business operations","SWOT analysis, business analysis, communication, presentation, career development planning, problem-solving",
TMAE333,Digital Trade (Thương mại kỹ thuật số),"digital trade, buying/selling/exchanging in digital environment, digital trade business regulations in Vietnam, digital trade strategies","economic analysis, business analysis, creative thinking, proposing digital business solutions, lifelong learning",
QTRE531,Graduation thesis (Khóa luận tốt nghiệp),"business administration, research methodology, theoretical framework","identifying research questions, data gathering, empirical material collection, data analysis, discussion, drawing conclusions, making recommendations, research writing, teamworking, communication",
TCHE201,Hi-Fin2 - Project - based learning (Hi-Fin2 - Học tập theo dự án),"equity, fixed-income assets, financial derivatives, security price movements, investment portfolios, risk management, macroeconomic conditions, investor profiles","security analysis, asset evaluation, portfolio construction, investment recommendation report writing, portfolio revision, presentation",
TCHE309,Risk Management for Multinational Corporations (Quản trị rủi ro công ty đa quốc gia),"MNC risk management, COSO ERM, ISO 31000, exchange rate risk, interest rate risk, commodity price risk, political risk, supply chain risk, credit risk, liquidity risk, risk management architecture","risk identification, risk measurement and quantification, designing risk prevention solutions, building policy frameworks, developing key risk indicators (KRIs), reporting, teamworking","COSO ERM, ISO 31000"
TCHE501,Hi-Fin 3 - Internship (Hi-Fin3 - Thực tập giữa khóa),"banking, international finance, organizational structure, professional culture","data analysis, structured analysis, devising business solutions, team communication, professional reporting, career planning, problem-solving","data analysis tools, software"
TCHE100,Hi - Fin 1 – Project-based learning (Hi-Fin 1 - Học tập theo dự án),"finance and banking careers, personal financial management, cash and credit management, uncertain management, investment decision-making, retirement planning","career pathway analysis, competency self-reflection, application preparation (CV, cover letter, LinkedIn profile, personal portfolio), interviewing, presentation, teamwork, time management, financial planning","LinkedIn, MS Teams, FTU e-Learning"
KTEE317,Global Climate Governance (Quản biến đổi khí hậu toàn cầu),"global climate change governance, politics of climate change, socio-political/economic/environmental values in climate policy, Microeconomics, Macroeconomics","policy analysis, structuring policies, case study analysis, data processing, data presentation, written communication",
TCHE315,International Financial Stability (Ổn định tài chính quốc tế),"systemic risk, global financial system, international financial institutions, crisis transmission mechanisms, causes of financial crises (banking, debt, currency), macroprudential/microprudential supervision, climate-related financial risks, FinTech, crypto-assets, non-bank financial intermediation","analyzing sources of instability, policy evaluation, risk assessment, data analysis, presenting, teamwork, policy analysis",
COSE531/COSH531,i-TEC4_Học phần tốt nghiệp – Dự án sáng tạo (Graduation Thesis – Creative Project),"computer science and data science in economics and business, software development lifecycle, data analysis","literature reading, software development, data analysis, experiment execution, thesis writing, presentation and defense, problem solving","software development tools, data analysis tools"
QTRE501,MID- COURSE INTERNSHIP (Thực tập giữa khoá),"business administration, value chains, business types and sizes, organizational structure, operational activities, financial status, human resources, strategic orientation","analyzing performance, marketing evaluation, proposing solutions, information searching and evaluating, business report writing, communication, teamwork",
KTEE334,Public Choice (Lựa chọn công),"public choice theory, market failures, public policy, externalities, democratic decision-making process","strategic planning, public policy analysis, report writing, presentation, critique, computational analysis","Excel, programming languages"
QTRE431,Retail management (Quản trị bán lẻ),"retail industry concepts, retail business environment, retail strategies, business models, product portfolios, customer service, pricing, inventory, supply chains, customer experience","retail strategic planning, business environment analysis, customer behavior analysis, retail marketing, store management, product display optimization",
KTEE333,State management on Maritime resources (Quản lý nhà nước về tài nguyên biển),"maritime resources, state management of maritime affairs, economic models of resource management, environmental impact assessments","marine development planning, policy analysis, presentation, report writing, critique, computational analysis",computational tools
QTRE302,Managing Emotions in Service Business (Quản trị cảm xúc trong kinh doanh dịch vụ),"service management, service development, inventory control, theories/models of emotions in service, relationship between emotions and service quality","conflict resolution, customer experience optimization, active listening, feedback handling, team cooperation, emotion management, communication",
TCH316E,Finance in Global Supply Chain,"Supply Chain Finance (SCF), trade cycle, trade finance products, credit risk, payment risk, legal risk, international certification CSCF standards","Trade Cycle Analysis, risk assessment, designing financing strategies, data analysis, report presentation, independent and team work",
COSE305/COSH305,i-TEC 3_ Dự án Tối ưu hoá trong kinh tế và kinh doanh (Thực tập giữa khoá) (Optimization in Economics and Business Project),"data science, optimization models, economics and business application development","small-scale application development, business data analysis, report writing, presentation, teamwork, independent research",
QTRE307,Service Marketing Management,"service quality management and delivery, customer behavior theories in service, service marketing strategies","service quality assessment, designing improvement solutions, service analysis, written reports, oral presentation, information research",service quality measurement tools
QTRE430,Consumer Behavior in Services,"consumer behavior, behavioral psychology, cultural factors, purchase decision-making process, individual vs organizational behavior, market segmentation, service positioning","consumer research, statistical analysis, market surveys, case study presentation, teamwork, proposing service marketing solutions",statistical tools
KDOE305,Business Ethics and Corporate Social Responsibility (Đạo đức kinh doanh và trách nhiệm xã hội của doanh nghiệp),"business ethics, corporate social responsibility (CSR), ethical theories, CSR models, conflicts of interest, financial transparency, workers' rights","ethical decision-making, CSR strategy formulation, information synthesis, case study analysis, problem-solving",
KTEE305,Global Governance (Quản lý toàn cầu),"global governance structure, international cooperation, global trade/financial governance, sustainable development","policy analysis, policy proposal, professional communication (presentation, discussion, debate, report writing), networking",
KTEE315,Digital Governance (Quản lý số),"digital transformation, artificial intelligence, IoT, 5G, digital platforms, regulatory mechanisms in digital space, risk control models","policy analysis, risk management, business analysis, communication, presentation, report writing",
DBAE304,Technology of Business Analytics (Công nghệ và lập trình trong phân tích dữ liệu kinh doanh),"technology platforms of business analytics, open-source computing, business decision making","formulating business problems, applying analytical technology, evaluating decisions, report writing, spoken presentation",open-source computing environments
BUSE405,Entrepreneurship (Tinh thần doanh nhân),"entrepreneurship fundamentals, opportunity recognition, startup business models, growth strategies, financial management, fundraising","business model design, startup plan preparation, competitive analysis, market research, presentation, teamwork, strategic planning",
COSE101/COSH101,i-TEC 1_Phát triển kỹ năng và định hướng nghề nghiệp (Career Path Design and Skill Development),"data science careers, professional workplace qualifications","career path planning, soft skills development, individual career path reporting, academic planning, presentation",
TCHE419,Foreign Exchange Trading (Kinh doanh ngoại hối),"foreign exchange market, foreign exchange trading, exchange rate risks, financial tools and models","arbitrage trading, currency risk hedging, financial problem-solving, data analysis, English communication in finance, teamwork",financial tools
QTRE326,Change Management (Quản trị sự thay đổi),"organizational change, change models, change diagnosis, change leadership, change interventions, transition strategies","diagnosing organizational needs, leadership and implementation of change strategies, risk management in transitions, decision making, communication, critical thinking",
LCME300,Supply Chain Analytics (Phân tích dữ liệu chuỗi cung ứng),"supply chain systems and structures, demand forecasting, inventory utilization, production capacity planning, material requirements planning","supply chain modeling, quantitative analysis, data-driven decision making, cost/pricing analysis, report writing, professional presentation","advanced analytical tools, decision-support models"
KTEE335,Economics of Platforms (Kinh tế học về nền tảng kinh doanh),"platform economy, pricing and non-pricing strategies, game theory, industrial organization theory, data privacy, antitrust, big tech market manipulation","platform design evaluation, competitive strategy analysis, policy recommendation, presentation, report writing",
TCHE314,International Carbon Market (Thị trường các-bon quốc tế),"carbon market operating mechanisms, compliance vs voluntary markets, EU ETS, CORSIA, China ETS, carbon pricing instruments, carbon credit strategies, Net Zero, NDCs","carbon pricing instrument selection, carbon credit strategy proposal, policy analysis, data analysis, scientific reporting, presentation, teamwork",
TCHE313,Global Climate Finance (Tài chính khí hậu toàn cầu),"global climate finance, climate risk assessment, disclosure standards (TCFD, ISSB, ESRS, GRI), carbon pricing, carbon accounting (Scope 1, 2, 3), accounting standards (GHG Protocol, ISO 14064, PCAF), sustainable business models (circular economy, decarbonization), ESG integration, climate assets valuation","climate risk modeling and stress testing, emissions accounting, sustainable business model design, capital mobilization strategy, traditional asset valuation adjustment, reporting and disclosure presentation, data analysis","TCFD, ISSB, ESRS, GRI, GHG Protocol, ISO 14064, PCAF"
QTRE327,Management of sustainable entrepreneurship (Quản trị Khởi nghiệp bền vững),"sustainable entrepreneurship, sustainability solutions innovation, social and environmental business models, circular economy, ecological sustainability","business model evaluation, sustainable solution design, market research, consulting project execution, stakeholder presentation, teamwork",
QTRE429,SERVICE MANAGEMENT (Quản trị dịch vụ),"service operations management, Design Thinking, new service development, service demand forecasting, customer service theory, technology in service delivery","design thinking execution, service demand forecasting, case study analysis, operational problem solving, project management, written report, oral presentation, teamwork",
MKTE406,E-Marketing,"electronic marketing tools, internet-based marketing, digital trade environment, customer behavior on electronic media","e-marketing campaign planning, environmental scanning, marketing strategy formulation, market data collection, business analysis, e-marketing tool management","internet tools, electronic media tools"
DASE403/DASH403,Phân tích dữ liệu Web (Web Analytics),"web analytics, website metrics, user behavior tracking, digital conversion optimization, digital marketing integration","web metrics configuration, website data analysis, web conversion rate optimization, business report writing, digital marketing analytics","Google Analytics, Crazy Egg, Alexa"
DASE402/DASH402,Mô hình ngẫu nhiên trong Phân tích dữ liệu kinh doanh (Stochastic Models in Business Analytics),"Poisson models, Renewal models, Random walks, Markov chains, Markov decision processes, Martingales, Queueing theory, business data applications","stochastic modeling, quantitative optimization, data analysis, algorithm implementation, programming",Python
TCHE403,International Financial Markets (Thị trường tài chính quốc tế),"international financial markets, international currency market, bond market, stock market, international derivatives market, risk hedging","investment decision making, capital raising, derivative hedging, risk assessment, financial data analysis, English communication in finance, teamwork",
COSE204/COSH204,i-TEC 2_Dự án AI (Artificial Intelligence Project),"Artificial Intelligence, machine learning, deep learning, software design, business data analysis","programming, machine learning algorithm application, deep learning modeling, project management, software development, presentation and group communication","Python, machine learning tools, deep learning tools"
NTSE326,Marketing Analytics (Phân tích dữ liệu Marketing),"Customer Lifetime Value (CLV), Click-Through Rate (CTR), Cost Per Acquisition (CPA), Return on Marketing Investment (ROMI), customer segmentation (RFM), A/B testing, attribution models, AI in marketing","marketing campaign analysis, data-driven segmentation, A/B testing execution, dashboard design, business-oriented visualization presentation, data processing","Excel, Google Sheets, PowerPoint, Google Slides"
TCHE406/TCHH406,Công nghệ tài chính và ứng dụng (Fintech and applications),"financial technology (Fintech), big data in finance, AI and machine learning in portfolio optimization, financial econometrics, stock price prediction, time series models, expected returns forecasting","stock price prediction modeling, optimal portfolio design, mobile/web interface design, econometric analysis, programming, presentation, teamwork","Python, Figma"
TMAE328,Trade Policy Analysis (Phân tích chính sách thương mại),"international trade models, gravity models, computable general equilibrium models, partial equilibrium models, multilateral trade regulations, Vietnam's trade policy","trade policy impact evaluation, statistical analysis, economic modeling, quantitative analysis, presentation, written research","Excel, Stata, R"
QTRE432,Fundraising for new ventures (Gọi vốn cho khởi nghiệp),"entrepreneurial finance, start-up capital structure, business evaluation and valuation, venture capital method, real options approach, private equity industry, employment contracts, exit decisions","start-up valuation, capital raising strategy design, investment contract negotiation, problem-solving, digital tool usage, technical writing",computational techniques
KTEE528,e-PLANE V: Graduation Thesis (e-PLANE V: Khóa luận tốt nghiệp),"international economics, international business, policy planning, policy implementation, organizational operation","advanced economic analysis, creative problem-solving, academic research, professional communication, thesis writing and defense, task management",academic tools
KTEE501,e-PLANE III: Mid-course Internship (e-PLANE III: Thực tập giữa khóa),"Business Model Canvas, Lean BMC, organizational structure, department relationships, key resources, market position","business model analysis, operational tasks, career planning, professional adaptation, teamwork, communication","Business Model Canvas, Lean BMC"
KTEE508,e-PLANE IV: Economic Project Practice (e-PLANE IV: Thực hành phân tích kinh tế),"economic analysis, business planning, research methodologies, international business environment (Industry 4.0)","economic research, business plan development, quantitative data analysis, teamwork, project coordination, presentation, creative problem-solving",analytical tools
KTEE507,e-PLANE IV: Business Project Practice (e-PLANE IV: Thực hành dự án kinh doanh),"business project management, business planning, industry 4.0 context, business models","business project design, operational evaluation, business plan presentation, team coordination, innovative project implementation, communication",
ITM301F,International Transport Management,"transport management, liner and charter shipping, air transport, road/rail transport, multimodal transport, transport law, trade-offs in logistics, transport cost calculation","selecting modes of transport, choosing transport companies, cost calculation, systemic analysis, critical problem-solving, professional presentation",
KTEE338,Contract in supply chain management,"supply chain contracts, contract management processes, contract performance criteria, monitoring obligations","contract risk analysis, contract design, performance monitoring, information analysis, presentation, negotiation",
MKTE306,Distribution channel and sales force management (Quản lý kênh phân phối và lực lượng bán hàng),"distribution channel design, channel member behavior, marketing environment, sales force management trends, sales organization structure","distribution system design, sales force coordination, channel positioning, communication, presentation",
MKTE408,International Business Communication (Truyền thông trong kinh doanh),"international business communication, intercultural communication, corporate brand reputation, advertising media","communication strategy design, business negotiation, product advertising, brand building, digital content creation, presentation",information technology tools
KTEE220,Digital Media Economics (Kinh tế học về truyền thông số),"digital media markets, information goods, two-sided markets, data economy, digital labor, media monopolies, digital consumer behavior, regulatory policies","business model evaluation, competitive structure analysis, policy analysis, professional presentation, debate and critique, report writing",
TMAE327,Business Innovation (Sáng tạo kinh doanh),"social business models, design thinking, crowdfunding campaigns, social business ecosystem, social innovation","business model design, design thinking implementation, crowdfunding campaign execution, information synthesis, professional presentation, team coordination",Design thinking tools
GPM301F,Global Purchasing Management (Quản lý mua hàng toàn cầu),"global procurement, purchasing processes, supplier evaluation criteria, procurement risk control, Kraljic Matrix, Total Cost of Ownership (TCO), Multi-Criteria Analysis (MCA)","global purchasing planning, supplier capability assessment, total cost of ownership analysis, procurement risk assessment, decision making, data analysis","Kraljic Matrix, Total Cost of Ownership (TCO), Multi-Criteria Analysis (MCA)"
WDME301,Warehouse and Distribution Management (Quản lý kho hàng và phân phối),"warehouse design, distribution logistics, transport planning, reverse logistics, warehouse management systems (WMS)","warehouse layout design, distribution project analysis, operational problem solving, WMS data entry and analysis, presentation, teamwork","WMS, Fast"
MKTE206,Digital marketing (Marketing số),"digital marketing platforms, customer experience (B2C and B2B), digital marketing strategies","digital marketing planning, digital environment analysis, data analytics tool utilization, presentation, strategy formulation","digital platforms, data analytics tools"
TMAE202,Social Innovation (Sáng tạo xã hội),"social entrepreneurship, sustainable development, social business ecosystem, stakeholder relationships, organizational culture for sustainability","sustainable business modeling, creative social problem-solving, project proposal, team coordination, presentation, critical thinking",
MKTE407,Brand in International Business (Thương hiệu trong kinh doanh quốc tế),"brand components, brand classifications, brand positioning, brand development models in international trade","brand building, brand positioning, branding strategy analysis, creative problem-solving, presentation, professional writing",
MKTE305,Marketing Research (Nghiên cứu Marketing),"marketing research process, research designs, quantitative/qualitative methods, questionnaire design, sampling methods","research problem definition, survey design, data collection, data analysis, report writing, presentation, market environment analysis",analytical software
MKTE402,Business Customer Relationship (Quan hệ khách hàng trong kinh doanh),"customer relationship management (CRM), customer lifetime value, customer data analysis, CRM philosophy, customer profitability","CRM program design, customer database development, CRM strategy implementation, customer profitability assessment, teamwork, presentation",CRM software
QTRE441,Innovation Management,"Innovation management concepts, Types of innovation, Innovation management models, Theories of innovation management, Innovation processes, Enterprise innovation strategies","Manage innovation projects, Foster a creative culture, Identify and capitalize on innovation opportunities, Commercialize innovations, Apply creative methods to develop solutions, Creative problem-solving, Teamwork",
TCHE405,Applied Personal Finance,"Fundamentals of personal finance, Asset management (cash, deposits, automobile, real assets), Personal credit management, Consumer loans management, Insurances (life, healthcare, automobile, house), Investment methods (equities, fixed-income securities, real estates), Retirement planning, Personal income and asset management","Personal financial planning, Develop personal financial plans, Evaluate current financial position, Assess saving and investment alternatives, Analyze financial data, Formulate financial plans, Written group/individual reporting, Financial presentations","Personal finance applications, MS Teams, FTU e-Learning"
DASE401/DASH401,Deep learning and its applications,"Activation functions, Loss functions, Optimization techniques, Computational graphs, Multilayer perceptrons, Convolutional Neural Network (CNN), Recurrent neural networks (RNN), Generative adversarial networks (GAN), Self-attention and transformers, Graph neural networks, Geometric deep learning, Neural differential equations, Neural architecture search, Federated learning, AI ethics (privacy, bias, accountability, human-AI interaction)","Implement deep learning models, Evaluate deep learning models, Image classification, Object detection, Sentiment analysis, Text generation, Game playing AI development, Compare deep learning model performance","Python, Keras"
TOAE206,Time Series Models for Economics and Business,"Descriptive statistical analysis, Stationary and non-stationary series, Autocorrelation diagram, Unit root test, ARIMA models, SARIMA models, ARCH models, GARCH models, Vector Autoregression (VAR), Error Correction Model (ECM), Vector Error Correction Model (VECM), Granger causality models, Toda-Yamamoto extended Granger causality model, Cointegration testing methods","Time series modeling, Economic analysis, Forecasting, Model estimation and selection, Logical thinking, Quantitative research",Python
DASE400/DASH400,Big Data Technologies and Tools,"Big Data characteristics (volume, variety, velocity, veracity, value), Big Data ecosystem, Distributed storage systems, Data processing frameworks, NoSQL databases, MapReduce, Data integration, Real-time analytics","Manage and analyze large-scale datasets, Data collection, Data preprocessing, Data integration from multiple sources, Descriptive, inferential, predictive, and prescriptive analysis, Apply statistical measures to big data","Apache Hadoop, Spark, HBase, R, Python, TensorFlow"
KETE533,Graduation Thesis – PACE4,"Political science, Social sciences, Research methodology, Accounting theory, Auditing standards, Taxation principles, Corporate finance","Conduct in-depth academic and practical research, Formulate research arguments, Methodological problem-solving, Scientific evaluation and synthesis, Information collection and processing, Report writing and academic communication, Professional decision-making","Office applications, Research IT tools"
QTRE408,Cross-cultural management,"International management complexity, Organizational behavior, Human resources management, Cross-cultural frameworks and models, Cultural values, norms, and communication styles, Global business environment, Multicultural contexts","Manage people in international workplaces, Apply cross-cultural frameworks to business cases, Cross-cultural leadership and motivation, International negotiations and conflict resolution, Design culturally responsive HRM policies, Intercultural competence, Case analysis and strategic recommendation, Written business reporting, Professional presentations",
TMAE402,Insurance in Business,"Fundamental legal principles in insurance, Risk management necessity, Marine cargo insurance, Aviation insurance, Fire and special risk insurance, Construction and installation insurance, Insurance company operations, Legal and compliance functions","Arranging insurance policies, Evaluate international business risks, Apply general average calculation techniques, Solve practical insurance problems, Utilize legal-commercial tools",
NHAE406,Bank Risk Management,"Risk identification and classification, Market risk, Interest rate risk, Credit risk, Liquidity risk, Operational risk, Capital adequacy regulations, International risk management standards, Bank risk management procedures and strategies","Bank risk analysis, Evaluate risk management strategies, Apply risk measurement models, Propose bank risk management solutions, Case analysis, Teamwork and problem-solving",
QTRE401,International Business and Management,"Globalization drivers and criticisms, National environmental differences, Economic, political, legal, financial, and cultural differences, International trade theories, Government influence on international trade, Global market entry strategies, Cross-border management practices","Managerial decision-making in international settings, Assess global opportunities and risks, Adapt strategies to diverse cultural and economic contexts, Case study analysis, Develop global managerial mindset, Teamwork and independent study, Communication and presentation",
KTE337,Operation and Production Management in Supply chain,"Production management process, Production Control environment drivers, Forecasting in Operations Management, Production and Process Design and Development, Facility Planning and Design, Inventory Planning, Warehouse Management, JIT Manufacturing, Supply Chain Management, Productivity Management, Work Methods and Evaluation, Quality Control and Quality Management, Maintenance and Reliability Management","Evaluate production and operation practices, Apply economic and business theories to supply chain operations, Write business reports, Deliver presentations, Apply quantitative operational models","Moving average (MA), EOQ, ABC analysis, JIT, Kaizen, 5S"
NHAE401,Bank lending,"Principles and practices of bank lending, Commercial banking principles, Types of bank loans, Borrowers' creditworthiness evaluation, Lending techniques, Credit appraisal procedures, Loan structuring, Credit portfolio monitoring","Analyze credit needs, Analyze borrowers' financial statements, Make sound lending decisions, Conduct customer interviews, Prepare loan documentation, Complete credit appraisal, Teamwork and communication, Manage credit risks",
COSE403/COSH403,Distributed System and Blockchain Technology,"Principles of distributed computing systems, Decentralized systems, Blockchain technology fundamentals, Consensus mechanisms, Blockchain applications in FinTech, Blockchain applications in supply chain management","Golang programming, Solidity programming, Analyze open-source blockchain source code, Develop decentralized applications (dApps), Team programming","Golang, Solidity, Ethereum"
QTRE413,Advanced Financial Management,"Capital budgeting, Capital structure propositions, Payout policy decisions, Risk-return relationships, Cost of capital, Portfolio management principles","Make corporate capital budgeting decisions, Estimate the cost of capital, Evaluate payout policy options, Provide senior financial advisory, Financial problem-solving, Independent and critical thinking, Professional presentations",
TCHE443,Financial Modeling,"Financial modeling concepts, Calculus tools in finance, Business valuation models, Asset pricing models, Risk management models, Corporate financial management","Build business valuation models, Build asset pricing models, Build risk management models, Analyze financial data, Construct financial models on personal computers, Support financial decision-making, Group project report writing","Excel, personal computers modeling tools"
COSE405/COSH405,Advanced Programming,"Advanced programming techniques, High-level programming languages, Sorting and searching algorithms, Algorithms on data structures, Array operations, Recursion, Pointers, File operations, Exception handling","Advanced software coding, Implement and test basic algorithms, Debugging and code optimization, Team programming, Self-learning new programming languages","Java, C++, Software development tools"
DTUE306,Real Estate Finance,"Residential real estate finance, Commercial real estate finance, Real estate investing risks and rewards, Development financing, Real estate appraising, Managing real estate portfolios, Leasing and property management, Analyzing site locations","Value the real estate market, Model real estate investment issues, Process and analyze financial data, Build real estate portfolios, Conduct professional debate, Collaborative research",Simulation project tools
QTRE328/QTRH328,Management of New Product Development,"Theories of new products, New product development process, Minimum Viable Product (MVP) concepts, Product launching frameworks","Apply product development tools, Design prototypes and MVPs, Build product launch plans, Problem-solving and product ownership, Independent project management, Multi-tasking teamwork","Prototyping tools, MVP design platforms"
KETE408,Internship – PACE2,"Corporate environments, Business operations, Accounting processes, Auditing practices, Financial management, Taxation within enterprises","Perform corporate accounting and auditing tasks, Observe and analyze business transactions, Compare academic theory with practice, Identify corporate issues, Formulate recommendations for businesses, Communication and presentation, Professional report writing","Office productivity tools, Enterprise accounting software, Excel"
KTEE209,Survey Design and Data Analysis,"Primary data collection meaning and methods, Quantitative research design, Socio-economic research fields, Behavioral economics, Economic and econometric models","Design questionnaires, Collect and process primary data, Analyze and evaluate survey data, Apply econometric models to analyze data, Write data-driven research reports, Critical thinking, Collaborate in teams","Google Forms, Qualtrics, SurveyMonkey, Excel, R, SPSS Amos, Stata, SmartPLS"
TCHE456,Mergers & Acquisitions,"M&A market dynamics, Corporate strategy in M&A, Motivations for M&A (strategic, financial, market), Capital structure in M&A, Shareholder value maximization, Market for corporate control, Valuation techniques in M&A, Corporate restructuring","Execute acquisition plans, Valuate target businesses, Deal structuring, Formulate financing strategies, Assess strategic fit, Collaborate on case analysis, Present M&A proposals",
DTUE408,Security Technical Analysis,"Technical Analysis core theories, Dow theory, Reversal rules, Price and trading volume fluctuations, Trend identification","Analyze trends and price movements, Interpret real-time stock market data, Design technical analysis reports, Collaborative problem-solving, Market forecasting","Chart analysis tools, Trading platforms"
COSE402/COSH402,Web & Mobile Application Development,"Web application architecture, Mobile application architecture (iOS/Android), Front-end technologies, Back-end technologies, Server-side scripting, Database integration, Cross-platform mobile frameworks","Design web and mobile user interfaces, Develop responsive front-ends, Program server-side logic, Perform database integration, Develop cross-platform mobile apps, Test and deploy web/mobile applications","HTML, CSS, JavaScript, Web frameworks, Mobile development frameworks"
COSE404/COSH404,Cloud computing,"Cloud computing concepts, Cloud service models (IaaS, PaaS, SaaS), Cloud deployment models (public, private, hybrid), Cloud security architecture, Hybrid multi-cloud concepts, Microservices, Serverless architecture, DevOps, Internet of Things (IoT) cloud integration","Analyze cloud performance, scalability, and cost, Design cloud applications, Develop and deploy cloud services, Evaluate and select cloud solutions, Manage cloud infrastructures","AWS, Azure, Google Cloud, IBM Cloud"
TMAE301,International Trade Policy,"Classical trade theories, Modern trade theories, Policy instruments governing global commerce, State import and export management, Multilateral trade regulations, Commitments in international trade, Vietnam's trade policy","Analyze international trade policy issues, Retrieve and analyze trade data, Propose solutions for import/export activities, Trade policy research",Trade databases
VJP204,Business Communication,"Business writing styles, Effective document design principles, Contemporary business communication channels, Intercultural communication strategies, Nonverbal communication in workplace, Communication ethics","Prepare business correspondence, Write memos, business letters, and reports, Deliver professional presentations, Prepare job application packages (resumes, cover letters), Job interviewing, Perform academic referencing (APA), Collaborative writing",APA referencing system
TCHE427,Behavioural Finance,"Psychological phenomena in finance, Behavioural finance theory, Self-deception errors theory, Heuristics-based judgment, Emotion-based judgment, Social effects theory, Efficient market hypothesis, Traditional wealth management vs behavioral finance","Analyze psychological influences on investment decisions, Construct investment portfolios based on investor psychology, Explain investment market anomalies, Deliver persuasive financial presentations, Conduct independent finance research",
